Fiscal Year,Library,County,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Use of Public Internet Computers,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita
1996,East Haven - Hagaman,New Haven,106,26651,83200,3.1,16610,0.62,12825,0.5,127043,3.9,108,1627,0.1,,56535,2.1,515685,19.35,454532,17.05,53000,280876,391854,14.7
1996,East Lyme,New London,141,16031,40000,2.5,18259,1.14,17360,1.1,161709,8.7,,4800,0.3,,78293,4.9,641772,40.03,589836,36.79,104357,348640,540342,33.7
1996,East Windsor - Warehouse,Hartford,83,9700,23231,2.4,3246,0.33,,,44053,3.9,271,5587,0.6,,30241,3.1,241527,24.9,72598,7.48,23839,120611,195070,20.1
1996,Eastford,Windham,110,1367,5400,4,590,0.43,200,0.1,11012,8,16,65,0,,11045,8.1,23592,17.26,21517,15.74,5725,12239,21512,15.7
1996,Easton,Fairfield,13,6489,48958,7.5,2236,0.34,7396,1.1,58946,8.6,133,2602,0.4,,44772,6.9,198936,30.66,191258,29.47,31997,121786,166580,25.7
1996,Ellington - Hall,Tolland,120,11817,74122,6.3,5885,0.5,4951,0.4,91986,6.5,119,4433,0.4,,36907,3.1,314451,26.61,282392,23.9,36060,168448,245401,20.8
1996,Enfield,Hartford,137,45451,189512,4.2,19481,0.43,43441,1,256892,5.3,458,12310,0.3,,125578,2.8,702011,15.45,691622,15.22,128082,493800,682947,15
1996,Essex,Middlesex,31,5855,38123,6.5,3657,0.62,5695,1,44991,6.6,18,789,0.1,,24599,4.2,175002,29.89,50000,8.54,24942,85298,138856,23.7
1996,Fairfield,Fairfield,28,53057,642103,12.1,25311,0.48,90150,1.7,782687,11.6,526,17988,0.3,,256937,4.8,2638467,49.73,2639667,49.75,382918,1481565,2041390,38.5
1996,Fairfield - Pequot,Fairfield,28,,93133,1.8,1881,0.04,4203,0.1,58006,0.8,219,6896,0.1,,127765,2.4,570088,10.74,210500,3.97,55610,248601,410434,7.7
1996,Farmington,Hartford,22,21197,202884,9.6,12612,0.59,36804,1.7,323453,11,1064,20189,1,,160182,7.6,1659714,78.3,1288335,60.78,119620,863107,1121128,52.9
1996,Glastonbury - Wells-T.,Hartford,39,28238,267544,9.5,15513,0.55,14337,0.5,334711,10.3,321,5341,0.2,,101092,3.6,781087,27.66,742590,26.3,135730,485671,685573,24.3
1996,"Glastonbury, East",Hartford,39,,10972,0.4,686,0.02,94,0,14715,0.5,,4281,0.2,,17191,0.6,19884,0.7,5000,0.18,9091,,12889,0.5
